timestamp,price,symbol,pip_size,epoch
2025-06-29 23:22:06+00:00,96846.8091,R_75,4,1751239326
2025-06-29 23:22:08+00:00,96830.2825,R_75,4,1751239328
2025-06-29 23:22:10+00:00,96843.3829,R_75,4,1751239330
2025-06-29 23:22:12+00:00,96850.2375,R_75,4,1751239332
2025-06-29 23:22:14+00:00,96857.4796,R_75,4,1751239334
2025-06-29 23:22:16+00:00,96853.6671,R_75,4,1751239336
2025-06-29 23:22:18+00:00,96810.537,R_75,4,1751239338
2025-06-29 23:22:20+00:00,96821.0869,R_75,4,1751239340
2025-06-29 23:22:22+00:00,96809.9049,R_75,4,1751239342
2025-06-29 23:22:24+00:00,96824.1686,R_75,4,1751239344
2025-06-29 23:22:26+00:00,96799.4799,R_75,4,1751239346
2025-06-29 23:22:28+00:00,96819.4139,R_75,4,1751239348
2025-06-29 23:22:30+00:00,96829.2085,R_75,4,1751239350
2025-06-29 23:22:32+00:00,96822.5484,R_75,4,1751239352
2025-06-29 23:22:34+00:00,96826.3809,R_75,4,1751239354
2025-06-29 23:22:36+00:00,96817.2675,R_75,4,1751239356
2025-06-29 23:22:38+00:00,96810.84,R_75,4,1751239358
2025-06-29 23:22:40+00:00,96808.3689,R_75,4,1751239360
2025-06-29 23:22:42+00:00,96817.2684,R_75,4,1751239362
2025-06-29 23:22:44+00:00,96802.5357,R_75,4,1751239364
2025-06-29 23:22:46+00:00,96784.0253,R_75,4,1751239366
2025-06-29 23:22:48+00:00,96784.5787,R_75,4,1751239368
2025-06-29 23:22:50+00:00,96760.8042,R_75,4,1751239370
2025-06-29 23:22:52+00:00,96805.2915,R_75,4,1751239372
2025-06-29 23:22:54+00:00,96804.7488,R_75,4,1751239374
2025-06-29 23:22:56+00:00,96808.3183,R_75,4,1751239376
2025-06-29 23:22:58+00:00,96790.8562,R_75,4,1751239378
2025-06-29 23:23:00+00:00,96809.0754,R_75,4,1751239380
2025-06-29 23:23:02+00:00,96839.9033,R_75,4,1751239382
2025-06-29 23:23:04+00:00,96827.4911,R_75,4,1751239384
2025-06-29 23:23:06+00:00,96833.8622,R_75,4,1751239386
2025-06-29 23:23:08+00:00,96834.3234,R_75,4,1751239388
2025-06-29 23:23:10+00:00,96815.1642,R_75,4,1751239390
2025-06-29 23:23:12+00:00,96802.5382,R_75,4,1751239392
2025-06-29 23:23:14+00:00,96798.455,R_75,4,1751239394
2025-06-29 23:23:16+00:00,96792.2457,R_75,4,1751239396
2025-06-29 23:23:18+00:00,96798.1041,R_75,4,1751239398
2025-06-29 23:23:20+00:00,96794.0085,R_75,4,1751239400
